               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10722,            0.051721,            0.027604,           0.0013524,             0.16956,          0.00084502,          0.00018007,             0.10523,            0.044979,            0.024344,             0.00299,             0.00299,             0.07309
                   1,              0.0921,            0.055683,            0.025148,            0.020464,             0.13908,            0.013826,           0.0024687,             0.10291,             0.14765,            0.014159,           0.0059887,           0.0059887,            0.046089
                   2,            0.083422,            0.047258,            0.021097,            0.011648,              0.5084,             0.00902,           0.0020658,            0.087182,             0.13853,            0.010281,            0.008982,            0.008982,            0.019082
                   3,            0.080778,            0.041768,            0.012688,             0.23808,             0.47085,             0.19575,            0.042701,            0.066738,              0.0361,           0.0046993,             0.00998,             0.00998,             0.00998
                   4,            0.071662,            0.041155,           0.0091154,             0.31753,             0.45188,             0.27805,            0.076133,            0.063438,            0.036851,           0.0029991,             0.00998,             0.00998,             0.00998
                   5,            0.066374,            0.040864,           0.0067485,             0.58468,             0.45854,             0.50112,             0.16221,            0.055397,            0.034933,           0.0040266,           0.0099645,           0.0099645,           0.0099645
                   6,            0.063539,            0.041378,           0.0057365,             0.62686,             0.62464,             0.63377,             0.23151,            0.052502,            0.032344,           0.0032891,           0.0099446,           0.0099446,           0.0099446
                   7,            0.060144,            0.036333,           0.0050544,             0.48666,             0.44746,             0.41402,             0.13403,            0.062964,            0.031565,           0.0019692,           0.0099203,           0.0099203,           0.0099203
                   8,            0.057553,            0.036775,           0.0042783,             0.81527,             0.68054,             0.70244,             0.24348,            0.050845,             0.03196,           0.0018537,           0.0098916,           0.0098916,           0.0098916
                   9,            0.056933,            0.037584,           0.0043426,             0.64991,             0.57332,             0.52993,             0.15732,            0.055417,            0.032073,            0.001324,           0.0098586,           0.0098586,           0.0098586
                  10,            0.056139,            0.035372,           0.0034873,             0.77866,             0.66098,             0.65343,             0.25328,            0.050984,            0.029919,           0.0010861,           0.0098213,           0.0098213,           0.0098213
                  11,            0.055147,            0.037831,           0.0032092,             0.68459,             0.58411,             0.57172,             0.17774,            0.056064,            0.029367,           0.0016422,           0.0097798,           0.0097798,           0.0097798
                  12,            0.054615,            0.037923,           0.0036458,              0.8527,             0.68995,             0.72025,             0.31346,            0.047761,            0.030384,           0.0012992,            0.009734,            0.009734,            0.009734
                  13,            0.052862,            0.036777,           0.0033864,             0.84322,             0.69513,             0.71958,             0.27712,            0.046739,            0.029982,           0.0013644,            0.009684,            0.009684,            0.009684
                  14,            0.053042,            0.036277,           0.0028542,             0.76292,             0.65737,             0.64726,              0.2633,            0.050514,            0.031456,          0.00097894,           0.0096299,           0.0096299,           0.0096299
                  15,            0.051128,            0.034735,           0.0028446,             0.83938,             0.71757,             0.74351,             0.31373,            0.045993,            0.029842,           0.0012956,           0.0095717,           0.0095717,           0.0095717
                  16,            0.052331,             0.03633,           0.0027459,             0.78582,              0.6712,             0.67695,             0.28116,             0.04809,            0.031033,           0.0027353,           0.0095095,           0.0095095,           0.0095095
                  17,            0.051646,            0.036054,           0.0026154,             0.84479,             0.71145,             0.72617,             0.29367,            0.048033,            0.030924,           0.0011034,           0.0094434,           0.0094434,           0.0094434
                  18,            0.050483,            0.034408,           0.0023863,             0.77413,              0.6861,             0.67727,             0.27294,            0.050266,             0.03272,           0.0011844,           0.0093733,           0.0093733,           0.0093733
                  19,            0.050457,            0.033191,           0.0023103,             0.82085,             0.68703,             0.68897,             0.27342,            0.050165,            0.029903,          0.00076467,           0.0092995,           0.0092995,           0.0092995
                  20,            0.048937,            0.033608,           0.0021197,             0.81335,             0.70698,             0.70396,             0.27992,            0.048063,            0.030917,          0.00096611,           0.0092219,           0.0092219,           0.0092219
                  21,            0.048916,            0.034776,           0.0024589,             0.81167,             0.71783,              0.7078,             0.28889,            0.048042,            0.030754,          0.00086957,           0.0091406,           0.0091406,           0.0091406
                  22,            0.048796,            0.033848,           0.0020506,             0.77332,             0.65548,             0.64128,             0.26254,            0.049917,            0.031816,          0.00095837,           0.0090557,           0.0090557,           0.0090557
                  23,            0.049071,            0.034489,           0.0021258,             0.78438,             0.71591,              0.6746,             0.28783,             0.04922,            0.031297,           0.0011046,           0.0089673,           0.0089673,           0.0089673
                  24,            0.047575,            0.032186,           0.0023217,             0.82845,             0.72616,             0.71832,             0.29084,            0.047626,            0.029825,           0.0010266,           0.0088755,           0.0088755,           0.0088755
                  25,             0.04865,            0.036367,           0.0024209,             0.80679,             0.70854,             0.69432,             0.29337,            0.048009,            0.030686,           0.0011606,           0.0087804,           0.0087804,           0.0087804
                  26,            0.048568,            0.034544,           0.0021533,             0.84654,             0.71908,             0.73267,             0.31108,            0.046715,            0.029996,          0.00078908,            0.008682,            0.008682,            0.008682
                  27,            0.047367,            0.033837,           0.0019708,               0.787,             0.67575,             0.67322,             0.26321,            0.048051,            0.030858,          0.00088429,           0.0085805,           0.0085805,           0.0085805
                  28,            0.046569,            0.032136,            0.002047,             0.77431,             0.70076,              0.6815,             0.27881,            0.049082,            0.030197,          0.00071306,           0.0084759,           0.0084759,           0.0084759
                  29,            0.047158,            0.034019,           0.0020536,             0.74126,             0.67033,             0.64797,             0.27453,            0.049149,             0.03154,           0.0013381,           0.0083684,           0.0083684,           0.0083684
                  30,            0.047253,            0.032829,           0.0019731,             0.74297,             0.64225,             0.61598,             0.23132,            0.050565,            0.032474,          0.00093835,           0.0082581,           0.0082581,           0.0082581
                  31,            0.046725,            0.032791,           0.0018318,             0.83184,             0.73003,             0.72922,              0.3123,            0.046097,            0.029992,          0.00066214,            0.008145,            0.008145,            0.008145
                  32,            0.046243,            0.033344,           0.0015386,             0.76122,             0.70073,             0.67359,             0.28769,            0.048903,            0.031553,          0.00078258,           0.0080294,           0.0080294,           0.0080294
                  33,            0.045959,            0.033137,            0.001826,             0.85518,             0.72459,             0.72705,             0.28286,            0.046469,              0.0302,          0.00082255,           0.0079112,           0.0079112,           0.0079112
                  34,            0.045863,            0.032576,           0.0018383,              0.7749,             0.69421,             0.67094,             0.27539,            0.047735,            0.030679,          0.00083189,           0.0077907,           0.0077907,           0.0077907
                  35,             0.04596,            0.033042,           0.0019388,             0.83341,             0.74227,             0.73752,             0.30492,            0.046616,            0.030495,          0.00076841,           0.0076679,           0.0076679,           0.0076679
                  36,            0.045764,            0.033936,           0.0017257,              0.7599,             0.69264,             0.64748,             0.25506,            0.050621,            0.032568,          0.00084981,            0.007543,            0.007543,            0.007543
                  37,            0.045502,            0.031511,           0.0015838,             0.75577,             0.68152,             0.65445,             0.26922,            0.048981,            0.031633,          0.00079689,            0.007416,            0.007416,            0.007416
                  38,            0.045645,            0.033959,           0.0018096,             0.80893,             0.71977,             0.70204,             0.29851,            0.047799,            0.030272,           0.0010224,           0.0072872,           0.0072872,           0.0072872
                  39,            0.045469,            0.033349,           0.0019455,             0.81901,             0.73596,             0.71131,             0.29294,            0.047255,            0.030864,          0.00083874,           0.0071566,           0.0071566,           0.0071566
                  40,            0.044722,            0.030732,           0.0015219,             0.77358,             0.69801,             0.65901,             0.29763,            0.048602,            0.032693,          0.00091702,           0.0070243,           0.0070243,           0.0070243
                  41,             0.04449,            0.032646,           0.0018296,             0.78832,             0.68307,             0.66408,             0.27645,            0.048912,            0.032391,          0.00086358,           0.0068906,           0.0068906,           0.0068906
                  42,            0.044605,            0.031379,           0.0015704,             0.75977,             0.67608,             0.64834,             0.27239,             0.04912,            0.030764,          0.00082019,           0.0067555,           0.0067555,           0.0067555
                  43,            0.044068,            0.031457,           0.0013926,             0.80749,             0.71224,             0.69834,             0.29006,            0.047236,            0.030048,          0.00070679,           0.0066191,           0.0066191,           0.0066191
                  44,            0.043805,            0.030683,             0.00127,             0.78881,             0.70858,             0.68159,             0.27763,            0.048325,            0.032338,          0.00061012,           0.0064816,           0.0064816,           0.0064816
                  45,            0.044222,            0.031779,           0.0013932,             0.76562,             0.69333,             0.65776,             0.27815,            0.048581,            0.033025,          0.00077405,           0.0063432,           0.0063432,           0.0063432
                  46,            0.044248,            0.032365,           0.0015115,              0.8113,             0.72178,             0.69449,             0.29465,             0.04802,            0.031344,          0.00068704,            0.006204,            0.006204,            0.006204
                  47,            0.043728,            0.031179,           0.0016695,             0.81959,              0.7276,             0.71328,             0.30615,            0.046454,            0.031071,          0.00066569,            0.006064,            0.006064,            0.006064
                  48,            0.044556,            0.034381,           0.0013493,             0.76923,             0.71983,             0.68195,             0.28969,            0.047769,            0.032851,          0.00071881,           0.0059235,           0.0059235,           0.0059235
                  49,            0.043199,            0.030391,             0.00135,             0.76992,             0.70222,              0.6714,             0.29778,            0.048071,            0.032418,          0.00070665,           0.0057826,           0.0057826,           0.0057826
                  50,            0.042978,            0.030239,           0.0012713,             0.79716,             0.70901,             0.67715,               0.293,            0.047437,            0.031412,          0.00063814,           0.0056413,           0.0056413,           0.0056413
                  51,            0.042954,            0.031669,           0.0010445,             0.79628,             0.71879,             0.68407,             0.30897,            0.047929,            0.031847,          0.00066965,              0.0055,              0.0055,              0.0055
                  52,            0.042934,            0.032385,           0.0014256,             0.79037,             0.71746,             0.68867,             0.29313,            0.047367,            0.032196,          0.00076809,           0.0053587,           0.0053587,           0.0053587
                  53,            0.042781,            0.031198,           0.0013385,             0.77145,             0.70174,             0.66491,             0.29062,            0.048405,            0.031368,          0.00079973,           0.0052174,           0.0052174,           0.0052174
                  54,            0.043307,             0.03197,           0.0014468,             0.79937,             0.72551,             0.69704,             0.31184,             0.04643,            0.031287,          0.00070248,           0.0050765,           0.0050765,           0.0050765
                  55,             0.04292,            0.031644,           0.0011581,             0.82437,             0.73625,             0.71773,             0.31476,            0.046421,            0.030451,          0.00064718,            0.004936,            0.004936,            0.004936
                  56,            0.042541,            0.032138,           0.0014048,             0.79472,             0.72324,             0.68632,             0.28454,            0.047886,            0.032841,          0.00067619,            0.004796,            0.004796,            0.004796
                  57,            0.042905,            0.032482,           0.0011747,             0.79611,             0.70515,             0.67213,             0.29453,             0.04784,            0.031761,          0.00066592,           0.0046568,           0.0046568,           0.0046568
