               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15767,            0.033512,            0.027445,           0.0018889,             0.18774,           0.0012344,          0.00027946,             0.14581,            0.027547,            0.023656,             0.00299,             0.00299,             0.07309
                   1,             0.10918,            0.048673,            0.025621,             0.12569,             0.15044,            0.088155,            0.016853,             0.08654,            0.045631,            0.023047,           0.0059887,           0.0059887,            0.046089
                   2,            0.098926,            0.046817,             0.02447,             0.10076,             0.26419,            0.075039,            0.015183,            0.083368,            0.038925,            0.021398,            0.008982,            0.008982,            0.019082
                   3,             0.09368,            0.042903,            0.024214,             0.21381,             0.34703,             0.17529,            0.035577,            0.081801,             0.03435,            0.019777,             0.00998,             0.00998,             0.00998
                   4,             0.08727,            0.039515,            0.022776,             0.13894,             0.32272,             0.10608,            0.023901,             0.06857,            0.036836,            0.018497,             0.00998,             0.00998,             0.00998
                   5,            0.075857,            0.039061,            0.019707,             0.55225,             0.34105,             0.37363,             0.10546,            0.066739,            0.030819,             0.01321,           0.0099645,           0.0099645,           0.0099645
                   6,            0.073565,            0.039244,            0.014935,             0.70143,             0.52118,             0.60395,             0.21522,             0.06394,            0.030748,           0.0057291,           0.0099446,           0.0099446,           0.0099446
                   7,             0.07277,            0.034504,             0.01097,             0.68243,              0.5675,             0.57468,             0.18776,            0.065741,            0.028226,           0.0038774,           0.0099203,           0.0099203,           0.0099203
                   8,            0.067242,            0.035028,           0.0082017,             0.80409,             0.64884,             0.71633,             0.26475,            0.057172,            0.030365,           0.0046869,           0.0098916,           0.0098916,           0.0098916
                   9,            0.067131,            0.035582,           0.0071054,             0.65916,             0.53897,             0.53378,             0.16094,            0.068627,            0.028189,           0.0022798,           0.0098586,           0.0098586,           0.0098586
                  10,            0.065413,            0.033517,           0.0054619,             0.77915,             0.65748,             0.67945,             0.26231,            0.059797,            0.027652,           0.0023251,           0.0098213,           0.0098213,           0.0098213
                  11,             0.06383,            0.035563,           0.0050552,              0.7784,             0.63417,             0.64727,             0.23572,            0.062838,              0.0276,           0.0020758,           0.0097798,           0.0097798,           0.0097798
                  12,            0.063019,            0.036106,           0.0053505,             0.83779,             0.66588,             0.69448,             0.28293,            0.055441,            0.028608,           0.0017112,            0.009734,            0.009734,            0.009734
                  13,            0.060989,            0.034837,           0.0045135,             0.90621,             0.69237,             0.77397,             0.34211,            0.050604,            0.028945,           0.0021918,            0.009684,            0.009684,            0.009684
                  14,            0.061671,            0.034315,           0.0038758,              0.8019,             0.69128,             0.69506,             0.28228,            0.058235,            0.027956,           0.0017424,           0.0096299,           0.0096299,           0.0096299
                  15,            0.059375,            0.033174,           0.0039205,              0.8529,             0.74424,             0.77221,             0.33019,             0.05056,            0.028378,           0.0013188,           0.0095717,           0.0095717,           0.0095717
                  16,            0.059961,            0.034512,           0.0038124,             0.80631,             0.69557,             0.69347,             0.28819,            0.056058,            0.029072,           0.0013142,           0.0095095,           0.0095095,           0.0095095
                  17,            0.058331,            0.034182,           0.0032713,              0.8441,             0.72121,             0.73705,             0.29578,            0.053109,            0.028761,           0.0013777,           0.0094434,           0.0094434,           0.0094434
                  18,             0.05755,            0.032812,           0.0030592,             0.81785,             0.71626,             0.71113,             0.28728,            0.054606,            0.030598,           0.0016498,           0.0093733,           0.0093733,           0.0093733
                  19,            0.058198,            0.031511,           0.0033878,              0.8091,             0.69632,              0.6997,             0.28724,            0.057773,            0.028101,           0.0016004,           0.0092995,           0.0092995,           0.0092995
                  20,            0.056168,            0.031836,           0.0028297,             0.82314,             0.71422,             0.71478,             0.28471,            0.055228,            0.029228,           0.0013597,           0.0092219,           0.0092219,           0.0092219
                  21,            0.056267,            0.033002,           0.0030069,             0.76573,             0.68169,             0.66084,              0.2626,            0.060954,            0.029136,           0.0012947,           0.0091406,           0.0091406,           0.0091406
                  22,            0.055433,             0.03243,            0.002775,             0.72706,             0.66552,             0.63429,             0.24861,            0.062225,            0.030194,           0.0011771,           0.0090557,           0.0090557,           0.0090557
                  23,            0.056543,            0.032916,           0.0026721,             0.79083,              0.6768,             0.67018,             0.29763,            0.057316,            0.029107,           0.0014411,           0.0089673,           0.0089673,           0.0089673
                  24,            0.054172,            0.030861,           0.0026263,             0.81825,             0.73103,              0.7257,             0.30165,            0.054559,            0.028948,          0.00096308,           0.0088755,           0.0088755,           0.0088755
                  25,            0.055998,            0.034571,           0.0028652,             0.82128,             0.73116,             0.73458,             0.29737,            0.055044,            0.028487,           0.0012085,           0.0087804,           0.0087804,           0.0087804
                  26,            0.055014,            0.033014,           0.0025512,             0.75204,             0.70236,              0.6682,             0.28584,            0.059295,            0.029273,            0.001003,            0.008682,            0.008682,            0.008682
                  27,            0.053256,            0.032394,           0.0026788,             0.78052,             0.70185,             0.68849,               0.296,            0.054173,            0.028422,          0.00089647,           0.0085805,           0.0085805,           0.0085805
                  28,            0.052817,            0.030494,           0.0023105,             0.75824,             0.69405,             0.66907,              0.2885,            0.057863,             0.02888,          0.00083059,           0.0084759,           0.0084759,           0.0084759
                  29,            0.053222,            0.032403,           0.0024092,              0.7847,             0.67774,             0.67213,             0.29111,            0.057205,             0.02899,            0.001248,           0.0083684,           0.0083684,           0.0083684
                  30,            0.053765,            0.031692,           0.0025744,             0.78011,             0.67479,             0.65684,             0.25726,            0.057948,             0.02956,           0.0013369,           0.0082581,           0.0082581,           0.0082581
                  31,            0.053059,            0.031603,           0.0022439,             0.84093,             0.71738,             0.73443,             0.30189,            0.054726,            0.028189,          0.00087249,            0.008145,            0.008145,            0.008145
                  32,            0.051901,            0.032286,           0.0019649,             0.81261,             0.69684,             0.69957,             0.29091,            0.055362,            0.028778,          0.00091752,           0.0080294,           0.0080294,           0.0080294
                  33,            0.052086,            0.031865,           0.0019459,             0.84937,             0.74263,             0.74704,             0.31871,            0.052853,             0.02805,           0.0008856,           0.0079112,           0.0079112,           0.0079112
                  34,            0.051844,            0.031279,           0.0020613,              0.7803,             0.71341,             0.68248,             0.28506,            0.056457,            0.029124,           0.0010352,           0.0077907,           0.0077907,           0.0077907
                  35,            0.051543,            0.031751,           0.0021261,             0.84899,             0.73676,             0.74182,             0.31375,            0.054207,             0.02856,          0.00092587,           0.0076679,           0.0076679,           0.0076679
                  36,            0.051792,            0.032491,           0.0020639,             0.74098,             0.67674,             0.63505,             0.25067,            0.060569,            0.030306,           0.0013179,            0.007543,            0.007543,            0.007543
                  37,            0.051155,            0.030229,           0.0018931,             0.79169,             0.69782,             0.68288,             0.29451,            0.054851,            0.029334,           0.0010139,            0.007416,            0.007416,            0.007416
                  38,            0.050997,            0.032356,           0.0018289,             0.82986,             0.73573,             0.72805,             0.30409,            0.054618,            0.029134,          0.00091486,           0.0072872,           0.0072872,           0.0072872
                  39,            0.050822,            0.031725,           0.0019931,             0.75625,                0.71,             0.67213,             0.28529,            0.058462,            0.029421,          0.00088679,           0.0071566,           0.0071566,           0.0071566
                  40,            0.049639,            0.029702,           0.0015618,             0.81363,             0.70563,             0.70049,             0.30752,            0.055522,            0.029741,          0.00087235,           0.0070243,           0.0070243,           0.0070243
                  41,            0.049686,            0.031378,           0.0020501,             0.78838,             0.67302,             0.66523,              0.2829,            0.058081,            0.029965,           0.0011329,           0.0068906,           0.0068906,           0.0068906
                  42,            0.050358,            0.030259,           0.0016691,             0.77719,             0.71052,             0.68033,             0.27892,            0.057718,            0.029144,           0.0010184,           0.0067555,           0.0067555,           0.0067555
                  43,            0.048747,            0.030314,            0.001548,             0.76454,             0.71199,             0.67424,              0.2827,            0.056676,            0.029383,          0.00080593,           0.0066191,           0.0066191,           0.0066191
                  44,            0.048809,            0.029627,           0.0017348,              0.7866,             0.71346,             0.68453,             0.27443,            0.057669,            0.030345,          0.00090347,           0.0064816,           0.0064816,           0.0064816
